"","Slough","Season","Habitat","size_class","Amphipoda_mean","Amphipoda_sd","Araneae_mean","Araneae_sd","Argulus_mean","Argulus_sd","Belo.Naucor_mean","Belo.Naucor_sd","Centrarchid_mean","Centrarchid_sd","Chironomid_mean","Chironomid_sd","Cladocera_mean","Cladocera_sd","Coleoptera_mean","Coleoptera_sd","Collembola_mean","Collembola_sd","Copepoda_mean","Copepoda_sd","Cyprinodontid_mean","Cyprinodontid_sd","Detritus_mean","Detritus_sd","Diptera_mean","Diptera_sd","Empty_mean","Empty_sd","Ephemeroptera_mean","Ephemeroptera_sd","Green.Algae_mean","Green.Algae_sd","Hemiptera_mean","Hemiptera_sd","Hydrachnidia_mean","Hydrachnidia_sd","Hymenoptera_mean","Hymenoptera_sd","Misc_mean","Misc_sd","Misc.Fish_mean","Misc.Fish_sd","Misc.Invert_mean","Misc.Invert_sd","Mollusca_mean","Mollusca_sd","Odonata_mean","Odonata_sd","Oligochaeta_mean","Oligochaeta_sd","Ostracoda_mean","Ostracoda_sd","Palaemonetes_mean","Palaemonetes_sd","Periphyton_mean","Periphyton_sd","Procambarus_mean","Procambarus_sd","Trichoptera_mean","Trichoptera_sd","Vasc.Plant_mean","Vasc.Plant_sd","X_mean","X_sd","Species_mean","Species_sd","Year_mean","Year_sd","Site_mean","Site_sd"
"1","SRS","Dry","Marsh","A.nat1",0,0,0,0,0,0,0.5,0.707106781186548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.176776695296637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.176776695296637,0.125,0.176776695296637,0.125,0.176776695296637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,7.77817459305202,NA,NA,2019,0,NA,NA
"2","SRS","Dry","Marsh","B.bel1",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,47,NA,NA,NA,2019,NA,NA,NA
"3","SRS","Dry","Marsh","C.uro1",0,0,0,0,0,0,0.0625,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0.05,0.1,0.775,0.16583123951777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,2.16024689946929,NA,NA,2019,0,NA,NA
"4","SRS","Dry","Marsh","E.ame1",0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,122,NA,NA,NA,2019,NA,NA,NA
"5","SRS","Dry","Marsh","E.eve1",0.2125,0.364250698597232,0,0,0,0,0,0,0,0,0.360416666666667,0.479246887694724,0.175,0.361544306709822,0,0,0.0104166666666667,0.0294627825494395,0,0,0,0,0,0,0,0,0,0,0,0,0.0354166666666667,0.0726141684543551,0,0,0,0,0,0,0,0,0,0,0.125,0.353553390593274,0.0104166666666667,0.0294627825494395,0,0,0,0,0.0708333333333333,0.14522833690871,0,0,0,0,0,0,0,0,0,0,176.5,3.16227766016838,NA,NA,2019,0,NA,NA
"6","SRS","Dry","Marsh","E.glo1",0.0857142857142857,0.191662969499982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0.149071198499986,0,0,0,0,0,0,0,0,0.295238095238095,0.417040648491644,0,0,0,0,0,0,0,0,0.266666666666667,0.434613493680177,0.123809523809524,0.170367083999984,0.0285714285714286,0.063887656499994,0,0,0,0,0,0,0,0,0,0,0.133333333333333,0.298142396999972,0,0,199,1.58113883008419,NA,NA,2019,0,NA,NA
"7","SRS","Dry","Marsh","E.suc1",0.05,0.1,0,0,0,0,0,0,0,0,0,0,0.25,0.353553390593274,0,0,0,0,0,0,0,0,0.318181818181818,0.468350955032537,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348484848484849,0.403155596837881,0,0,0,0,0,0,0,0,0,0,222.5,1.29099444873581,NA,NA,2019,0,NA,NA
"8","SRS","Dry","Marsh","F.chr1",0.0555555555555556,0.166666666666667,0,0,0,0,0,0,0,0,0.087962962962963,0.220916301674818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.330718913883074,0.148148148148148,0.256098457147025,0,0,0,0,0.037037037037037,0.111111111111111,0.295454545454545,0.35217088785362,0,0,0.250841750841751,0.338044455165283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.111111111111,2.93446947694317,NA,NA,2019,0,NA,NA
"9","SRS","Dry","Marsh","F.chr2",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,273,NA,NA,NA,2019,NA,NA,NA
"10","SRS","Dry","Marsh","F.con1",0,0,0.3,0.424264068711929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.282842712474619,0,0,0,0,0,0,0,0,0,0,0.5,0.707106781186548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.5,0.707106781186548,NA,NA,2019,0,NA,NA
"11","SRS","Dry","Marsh","G.hol1",0,0,0,0,0,0,0,0,0,0,0.133352534562212,0.32609067455056,0.380952380952381,0.480781440626397,0,0,0,0,0.0184331797235023,0.0487696094205454,0,0,0,0,0.142857142857143,0.377964473009227,0,0,0,0,0,0,0.145833333333333,0.376732110833857,0.0357142857142857,0.0944911182523068,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0.377964473009227,0,0,0,0,0,0,0,0,0,0,0,0,552.571428571429,13.3023449418657,NA,NA,2019,0,NA,NA
"12","SRS","Dry","Marsh","G.hol2",0,0,0,0,0,0,0,0,0,0,0.529661835748792,0.401450379902792,0.171428571428571,0.288871445487678,0.00869565217391304,0.0194440693695634,0,0,0.0546583850931677,0.0749728292025163,0,0,0.0666666666666667,0.149071198499986,0.133333333333333,0.298142396999972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222222222222222,0.0496903994999953,0,0,0,0,0,0,0,0,0,0,0.0133333333333333,0.0298142396999972,0,0,0,0,0,0,562.8,2.38746727726266,NA,NA,2019,0,NA,NA
"13","SRS","Dry","Marsh","H.for1",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0.9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0.1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,678,NA,NA,NA,2019,NA,NA,NA
"14","SRS","Dry","Marsh","H.for2",0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.399374510954317,0,0,0,0,0,0,0,0,0.211666666666667,0.0753694603639667,0,0,0,0,0,0,0,0,0,0,0.04,0.0894427190999916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253333333333333,0.347690794944141,0,0,0.04,0.0894427190999916,0,0,0.025,0.0559016994374947,0,0,678.6,2.07364413533277,NA,NA,2019,0,NA,NA
"15","SRS","Dry","Marsh","H.let1",0,0,0,0,0,0,0,0,0,0,0.0144300144300144,0.0624118976371776,0,0,0.0101010101010101,0.0580258853185659,0,0,0.00757575757575758,0.0435194139889245,0,0,0.207900432900433,0.210145144192055,0.0202020202020202,0.116051770637132,0,0,0,0,0.068001443001443,0.121615081136637,0,0,0.0616883116883117,0.1868008162166,0,0,0,0,0.102020202020202,0.210561318915818,0.232323232323232,0.318523595899552,0.128391053391053,0.22652390079204,0.051046176046176,0.123081132610846,0,0,0,0,0.0505050505050505,0.126620389605991,0,0,0,0,0.0458152958152958,0.129664978958715,0,0,783.848484848485,23.9441031520827,NA,NA,2019,0,NA,NA
"16","SRS","Dry","Marsh","H.lit1",0,0,0,0,0,0,0,0,0,0,0.0196078431372549,0.0339617805405662,0.0196078431372549,0.0339617805405662,0,0,0,0,0,0,0,0,0.133695144724556,0.174682373098379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0.192450089729875,0,0,0.715978057889823,0.341804506658557,0,0,0,0,0,0,0,0,0,0,811.666666666667,2.08166599946613,NA,NA,2019,0,NA,NA
"17","SRS","Dry","Marsh","J.flo2",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0.333333333333333,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0.333333333333333,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0.333333333333333,NA,0,NA,0,NA,0,NA,827,NA,NA,NA,2019,NA,NA,NA
"18","SRS","Dry","Marsh","L.goo1",0.0241013071895425,0.0646845255901796,0,0,0,0,0,0,0,0,0.40724514682848,0.332457166554018,0.314646219793279,0.306998807669938,0,0,0,0,0.0551485551485551,0.105198901744558,0,0,0.072943514365083,0.0680284193211937,0.00264550264550265,0.0112239171616912,0,0,0,0,0,0,0.0119047619047619,0.0402158375780427,0.0357204750587104,0.0833083237137076,0,0,0,0,0,0,0.00264550264550265,0.0112239171616912,0.0109427609427609,0.0395122163658552,0,0,0,0,0,0,0,0,0.0620562534778221,0.0658440018331622,0,0,0,0,0,0,1134.38888888889,18.8777456558179,NA,NA,2019,0,NA,NA
"19","SRS","Dry","Marsh","L.goo2",0.023969696969697,0.0720317648360314,0,0,0,0,0,0,0,0,0.571735355645947,0.310065233789,0.126570900601006,0.129984295532869,0,0,0.00195121951219512,0.00975609756097561,0.0232913343965976,0.041668325525086,0,0,0.034545177045177,0.0612394013310891,0.00230894308943089,0.00809504646367098,0,0,0,0,0,0,0.0614464432119605,0.202558255688005,0.0501180035650624,0.113680756572912,0,0,0,0,0,0,0.0112727272727273,0.0407640526564854,0.0332753246753247,0.0813772587845291,0.00533333333333333,0.0266666666666667,0,0,0.00266666666666667,0.00922958206990897,0,0,0.0478785103785104,0.0850595113351806,0,0,0.00363636363636364,0.0181818181818182,0,0,1121.48,19.5088014325159,NA,NA,2019,0,NA,NA
"20","SRS","Dry","Marsh","L.mar1",0.0512820512820513,0.0888231183368655,0,0,0,0,0,0,0,0,0.183760683760684,0.192876651220457,0.25,0.433012701892219,0,0,0,0,0,0,0,0,0.164529914529915,0.0865582440193551,0,0,0,0,0,0,0,0,0.0256410256410256,0.0444115591684328,0,0,0,0,0,0,0,0,0.166666666666667,0.288675134594813,0,0,0.0555555555555556,0.0962250448649376,0,0,0.102564102564103,0.177646236673731,0,0,0,0,0,0,0,0,0,0,1296,1,NA,NA,2019,0,NA,NA
"21","SRS","Dry","Marsh","L.mic1",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1290,NA,NA,NA,2019,NA,NA,NA
"22","SRS","Dry","Marsh","L.pun2",0,0,0,0,0,0,0.19047619047619,0.243975018237133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.144337567297406,0,0,0,0,0,0,0,0,0.0642857142857143,0.110733485278414,0,0,0,0,0,0,0,0,0,0,0.254761904761905,0.355735321619345,0.0833333333333333,0.144337567297406,0,0,0,0,0.276190476190476,0.395209408023741,0,0,0,0,0.0476190476190476,0.125988157669742,0,0,1369,2.16024689946929,NA,NA,2019,0,NA,NA
"23","SRS","Dry","Marsh","L.pun3",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1373,NA,NA,NA,2019,NA,NA,NA
"24","SRS","Dry","Marsh","N.gyr1",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1577,NA,NA,NA,2019,NA,NA,NA
"25","SRS","Dry","Marsh","N.vir1",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0.333333333333333,NA,0,NA,0,NA,0,NA,0,NA,0.333333333333333,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0.333333333333333,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1578,NA,NA,NA,2019,NA,NA,NA
"26","SRS","Dry","Marsh","O.aur1",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1601,NA,NA,NA,2019,NA,NA,NA
"27","SRS","Dry","Marsh","P.axa1",0,0,0,0,0,0,0,0,0,0,0.583333333333333,0.58925565098879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.471404520791032,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.117851130197758,0,0,0,0,0,0,0,0,0,0,1636,1.4142135623731,NA,NA,2019,0,NA,NA
"28","SRS","Dry","Marsh","P.lat2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.707106781186548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.707106781186548,0,0,0,0,0,0,1628.5,0.707106781186548,NA,NA,2019,0,NA,NA
"29","SRS","Dry","Marsh","R.gry1",0,0,0,0,0,0,0,0,0,0,0,0,0.130952380952381,0.320766513935892,0,0,0,0,0,0,0,0,0.147089947089947,0.115346342385028,0,0,0,0,0,0,0.313756613756614,0.348045207598513,0,0,0,0,0,0,0,0,0,0,0.261111111111111,0.298452800412518,0,0,0,0,0,0,0,0,0,0,0.147089947089947,0.115346342385028,0,0,0,0,0,0,1641.5,1.87082869338697,NA,NA,2019,0,NA,NA
"30","SRS","Dry","Marsh","S.lac1",0,0,0,0,0,0,0,0,0,0,0.222537878787879,0.358724070630704,0.317361111111111,0.376480488034068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303030303030303,0.0524863881081478,0,0,0,0,0.42979797979798,0.277319640564001,0,0,0,0,0,0,0,0,0,0,1650,1,NA,NA,2019,0,NA,NA
"31","SRS","Dry","Marsh","T.mar1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1674.75,1.70782512765993,NA,NA,2019,0,NA,NA
"32","SRS","Dry","NP","F.chr1",0.0444444444444444,0.0993807989999906,0,0,0,0,0.211111111111111,0.216595429884644,0,0,0.0222222222222222,0.0496903994999953,0,0,0.0666666666666667,0.149071198499986,0,0,0.2,0.447213595499958,0,0,0,0,0.0222222222222222,0.0496903994999953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0.074535599249993,0.0333333333333333,0.074535599249993,0.3,0.414996653266291,0,0,0,0,0.0666666666666667,0.149071198499986,0,0,0,0,0,0,0,0,268,1.58113883008419,NA,NA,2019,0,NA,NA
"33","SRS","Dry","NP","G.hol1",0.00444444444444444,0.0133333333333333,0.0236299648064354,0.052563615665842,0,0,0,0,0,0,0.283844750021221,0.230090237855989,0.567095303026676,0.188674587280283,0.0065359477124183,0.0196078431372549,0,0,0.0285126396237507,0.0633234337188581,0,0,0.0257341303092937,0.0321113452219939,0.00854700854700855,0.0256410256410256,0,0,0.0101010101010101,0.0303030303030303,0,0,0.028482905982906,0.0522893460159128,0.0065359477124183,0.0196078431372549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065359477124183,0.0196078431372549,0,0,0,0,0,0,575.555555555556,3.64386851817924,NA,NA,2019,0,NA,NA
"34","SRS","Dry","NP","G.hol2",0.062943117488572,0.122727535267492,0,0,0,0,0.0170940170940171,0.0387924981808896,0,0,0.49462281628057,0.317728144280215,0.203935280405869,0.275092038753018,0.0363636363636364,0.120604537831105,0,0,0.00699300699300699,0.0231931803521357,0,0,0.0235654868007809,0.037014750549373,0.0240870240870241,0.0544355454115622,0,0,0.0101010101010101,0.0335012605086404,0,0,0.0606484424666243,0.0759738578913697,0.00699300699300699,0.0231931803521357,0,0,0,0,0,0,0.0346320346320346,0.100092721392196,0,0,0.00792011019283747,0.0176414773005462,0,0,0,0,0,0,0.0101010101010101,0.0335012605086404,0,0,0,0,0,0,584.545454545455,3.98405914523458,NA,NA,2019,0,NA,NA
"35","SRS","Dry","NP","H.for1",0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.747619047619048,0.233381919139864,0,0,0,0,0,0,0,0,0.102380952380952,0.0736172611130491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690.75,3.09569593683445,NA,NA,2019,0,NA,NA
"36","SRS","Dry","NP","H.for2",0,0,0,0,0,0,0,0,0,0,0.483225371120108,0.330165534318131,0.490107962213225,0.313253234051254,0,0,0,0,0,0,0,0,0.0133333333333333,0.0298142396999972,0,0,0,0,0,0,0,0,0,0,0.0133333333333333,0.0298142396999972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694.4,2.07364413533277,NA,NA,2019,0,NA,NA
"37","SRS","Dry","NP","L.goo1",0.0650243189063065,0.0620404145286588,0,0,0,0,0,0,0,0,0.512100637356392,0.19582837405784,0.339293833475419,0.237636828956965,0,0,0,0,0,0,0,0,0.0250794762349384,0.0276346474771774,0.0102040816326531,0.0269974623578019,0,0,0,0,0,0,0,0,0.00634920634920635,0.0167984210226323,0,0,0,0,0,0,0.00846560846560847,0.015077044284418,0.00840336134453781,0.0222332042946604,0.0173319327731092,0.0296189307619741,0,0,0,0,0,0,0.00774754346182918,0.0141319656827575,0,0,0,0,0,0,1163.14285714286,2.41029537806548,NA,NA,2019,0,NA,NA
"38","SRS","Dry","NP","L.goo2",0.0730442176870748,0.0759752620515163,0,0,0,0,0,0,0,0,0.338038548752834,0.241260097592367,0.265008503401361,0.307934519511224,0.00680272108843537,0.0179983082385346,0.00680272108843537,0.0179983082385346,0,0,0,0,0.0600907029478458,0.0766543888611581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204081632653061,0.0539949247156039,0.205994897959184,0.253223876679089,0,0,0,0,0,0,0.0238095238095238,0.0629940788348712,0,0,0,0,0,0,1169.85714285714,2.41029537806548,NA,NA,2019,0,NA,NA
"39","SRS","Dry","NP","P.lat1",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,1607,NA,NA,NA,2019,NA,NA,NA
"40","SRS","Dry","NP","P.lat2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.223606797749979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.223606797749979,0,0,0,0,0,0,1610,1.58113883008419,NA,NA,2019,0,NA,NA
"41","SRS","Dry","Pond","A.nat1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3333333333333,9.45163125250522,NA,NA,2019,0,NA,NA
"42","SRS","Dry","Pond","A.nat2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2.16024689946929,NA,NA,2019,0,NA,NA
"43","SRS","Dry","Pond","A.nat3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.408248290463863,0,0,0,0,0,0,24.5,5.24404424085076,NA,NA,2019,0,NA,NA
"44","SRS","Dry","Pond","A.nat4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.388321581673812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.231455024943138,0,0,0,0,0,0,0.0416666666666667,0.117851130197758,0,0,0,0,0.0416666666666667,0.117851130197758,0.125,0.231455024943138,0,0,0,0,0,0,28.125,7.16015761997298,NA,NA,2019,0,NA,NA
