"","Slough","Species","Amphipoda_mean","Araneae_mean","Argulus_mean","Belo.Naucor_mean","Centrarchid_mean","Chironomid_mean","Cladocera_mean","Coleoptera_mean","Collembola_mean","Copepoda_mean","Cyprinodontid_mean","Detritus_mean","Diptera_mean","Empty_mean","Ephemeroptera_mean","Green.Algae_mean","Hemiptera_mean","Hydrachnidia_mean","Hymenoptera_mean","Misc_mean","Misc.Fish_mean","Misc.Invert_mean","Mollusca_mean","Odonata_mean","Oligochaeta_mean","Ostracoda_mean","Palaemonetes_mean","Periphyton_mean","Procambarus_mean","Trichoptera_mean"
"1","SRS","ACRIPT",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0
"2","SRS","AMENAT",0,0,0,4,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,4,4,4,4,4,0,0,4,4,0,0
"3","SRS","AMICAL",0,0,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0
"4","SRS","BELBEL",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"5","SRS","CICMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"6","SRS","CICOCE",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","SRS","CICURO",0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,4,4,4,0,4,4,4,4,4,0,0,4,0,0,0
"8","SRS","CIPVAR",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"9","SRS","CLABAT",0,0,0,4,0,4,0,4,0,0,0,4,4,0,0,0,0,0,0,4,4,0,4,4,0,0,4,0,4,0
"10","SRS","ELAEVE",4,0,0,0,0,4,4,0,4,4,0,4,4,0,0,4,0,0,0,0,0,4,4,4,0,4,0,4,0,0
"11","SRS","ENNGLO",4,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,4,4,0,0,4,0,0,4
"12","SRS","ERISUC",4,0,0,0,0,4,4,0,0,4,0,4,0,0,0,0,0,4,0,0,0,4,4,0,0,4,0,0,0,0
"13","SRS","ESOAME",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","SRS","FUNCHR",4,4,0,4,0,4,4,4,4,4,4,4,4,0,4,0,4,4,4,4,4,4,4,4,4,4,4,0,0,0
"15","SRS","FUNCON",4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0
"16","SRS","GAMHOL",4,4,0,4,0,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,0,4,0,4
"17","SRS","HEMLET",4,0,0,4,0,4,0,4,0,4,4,4,4,0,0,4,4,4,0,0,4,4,4,4,0,0,4,0,0,4
"18","SRS","HETFOR",0,0,0,0,0,4,4,0,0,4,0,4,0,0,0,4,0,4,0,4,0,4,0,0,0,4,0,4,0,4
"19","SRS","HOPLIT",0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0
"20","SRS","JORFLO",0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0
"21","SRS","LEPGUL",0,0,0,4,0,4,4,0,4,0,0,4,4,0,0,0,4,0,0,4,4,4,0,4,0,4,4,4,4,0
"22","SRS","LEPMAC",4,0,0,4,0,0,4,4,0,4,0,4,0,0,0,0,4,4,4,4,4,4,4,4,0,4,4,4,0,0
"23","SRS","LEPMAR",4,0,0,4,0,4,4,0,0,4,0,4,4,0,0,0,4,0,0,0,4,4,4,4,0,4,0,4,0,4
"24","SRS","LEPMIC",4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,4,0,4
"25","SRS","LEPPLA",0,0,0,4,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,4,0,0,4,4,4,0
"26","SRS","LEPPUN",4,0,0,4,0,4,0,0,0,0,0,4,0,0,0,4,4,0,4,0,4,4,4,4,0,4,4,4,0,4
"27","SRS","LUCGOO",4,0,0,4,0,4,4,4,4,4,0,4,4,0,0,4,4,4,0,4,0,4,4,4,0,4,0,4,0,4
"28","SRS","MACSIA",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
"29","SRS","MICSAL",0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0
"30","SRS","MONALB",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"31","SRS","NERFLO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"32","SRS","NOTGYR",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","SRS","NOTPET",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0
"34","SRS","NOTVIR",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0
"35","SRS","OREAUR",4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0
"36","SRS","POELAT",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"37","SRS","PSEAXA",0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0
"38","SRS","RANATP",0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0
"39","SRS","RANGRY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"40","SRS","SIRLAC",4,0,0,0,0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,4,4,0,4,0,0,4,0,0,4,0
"41","SRS","SNOOK",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0
"42","SRS","TILMAR",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"43","TSL","ANGROS",0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0
"44","TSL","BELBEL",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"45","TSL","CICBIM",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0
"46","TSL","CICMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0
"47","TSL","CICOCE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"48","TSL","CICURO",4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,4,4,4,0,0,0,4,0,0,4
"49","TSL","CLABAT",4,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0
"50","TSL","ELAEVE",4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"51","TSL","ENNGLO",4,0,0,0,0,4,4,0,0,4,0,4,0,0,0,0,4,0,0,0,0,4,4,4,0,4,4,0,0,0
"52","TSL","FUNCHR",0,4,0,0,0,4,4,4,0,4,0,0,4,0,0,0,4,4,0,0,4,4,4,4,4,4,4,0,0,0
"53","TSL","GAMHOL",4,4,4,4,0,4,4,4,4,0,0,4,4,0,4,4,4,4,4,4,4,4,4,4,0,4,0,4,0,4
"54","TSL","HETFOR",4,0,0,0,0,4,4,4,4,4,0,4,0,0,0,4,4,4,0,0,0,4,0,4,0,4,0,4,0,0
"55","TSL","LABSIC",0,4,0,0,0,4,4,0,4,0,0,4,4,0,0,0,0,4,4,0,0,4,0,4,0,4,0,0,0,0
"56","TSL","LEPGUL",0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"57","TSL","LEPMAC",0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,4,0,4,0,4,0,0,0,0
"58","TSL","LEPMAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"59","TSL","LEPMIC",4,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0
"60","TSL","LUCGOO",4,0,0,0,0,4,4,4,4,4,0,4,0,0,0,0,4,4,0,4,0,4,4,4,0,4,4,4,0,4
"61","TSL","MACSIA",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
"62","TSL","MENBER",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0,4,0,0
"63","TSL","MICSAL",0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,4,4,4,4,0,4,4,0,4,0,0,0
"64","TSL","MONALB",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0
"65","TSL","NOTPET",4,0,0,0,0,4,4,0,4,0,0,4,0,0,0,4,0,4,0,4,4,4,0,0,0,4,0,0,0,0
"66","TSL","POELAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"67","TSL","TILMAR",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,4,4,0,0,0,4,0,4,0,0
