size_class,Invasion_Status,Habitat,Season,N,Length,Wet_Weight,Amphipoda,Araneae,Argulus,Belo.Naucor,Centrarchid,Chironomid,Cladocera,Coleoptera,Collembola,Copepoda,Cyprinodontid,Detritus,Diptera,Ephemeroptera,Green.Algae,Hemiptera,Hydrachnidia,Hymenoptera,Misc,Misc.Fish,Misc.Invert,Mollusca,Odonata,Oligochaeta,Ostracoda,Palaemonetes,Periphyton,Procambarus,Trichoptera,Vasc.Plant
C.var1,Pre-Invasion,Marsh,Wet,25,17.88± 1.47,0.14± 0.04,0.01± 0.05,0± 0,0± 0,0± 0,0± 0,0.08± 0.15,0.24± 0.24,0.01± 0.05,0.01± 0.05,0.07± 0.12,0± 0,0± 0,0.01± 0.04,0± 0,0± 0,0± 0,0± 0,0± 0,0.07± 0.16,0.09± 0.26,0± 0,0± 0,0± 0,0± 0,0± 0.01,0± 0,0.4± 0.33,0± 0,0± 0,0± 0
E.ame1,Post-Invasion,Marsh,Dry,1,156± NA,45.6± NA,0± NA,0± NA,0± NA,0± NA,1± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA
E.eve1,Post-Invasion,Marsh,Dry,8,15.05± 3.59,0.12± 0.09,0.21± 0.36,0± 0,0± 0,0± 0,0± 0,0.36± 0.48,0.17± 0.36,0± 0,0.01± 0.03,0± 0,0± 0,0± 0,0± 0,0± 0,0.04± 0.07,0± 0,0± 0,0± 0,0± 0,0± 0,0.12± 0.35,0.01± 0.03,0± 0,0± 0,0.07± 0.15,0± 0,0± 0,0± 0,0± 0,0± 0
E.eve1,Pre-Invasion,Marsh,Dry,24,17.58± 2.88,0.19± 0.13,0.09± 0.13,0± 0,0± 0,0± 0,0± 0,0.16± 0.15,0.39± 0.25,0.02± 0.05,0± 0,0.15± 0.18,0± 0,0.02± 0.06,0± 0,0.01± 0.05,0± 0,0± 0,0± 0.02,0± 0,0± 0,0± 0,0± 0,0.02± 0.05,0± 0,0± 0,0.12± 0.15,0.01± 0.03,0.02± 0.05,0± 0,0± 0,0± 0
E.eve1,Post-Invasion,Marsh,Wet,2,15.69± 0.64,0.13± 0.01,0.25± 0.35,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.25± 0.35,0± 0,0± 0,0± 0,0± 0,0.25± 0.35,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.25± 0.35,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
E.eve1,Pre-Invasion,Marsh,Wet,22,15.64± 2.32,0.1± 0.05,0.11± 0.16,0± 0,0± 0,0± 0,0± 0,0.21± 0.2,0.18± 0.17,0± 0,0± 0,0.31± 0.24,0± 0,0± 0,0± 0,0.04± 0.07,0± 0,0± 0,0.01± 0.02,0± 0,0.02± 0.05,0± 0,0± 0.01,0.04± 0.11,0± 0.01,0± 0,0.06± 0.07,0± 0,0.01± 0.04,0± 0,0± 0,0± 0
E.eve1,Post-Invasion,Pond,Dry,1,12.57± NA,0.06± NA,0± NA,0± NA,0± NA,0± NA,0± NA,1± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA
E.eve1,Pre-Invasion,Pond,Dry,6,17.63± 3.5,0.17± 0.08,0.25± 0.29,0± 0,0± 0,0± 0,0± 0,0± 0,0.11± 0.17,0± 0,0± 0,0.36± 0.22,0± 0,0± 0,0± 0,0.04± 0.1,0± 0,0± 0,0± 0,0± 0,0.06± 0.14,0± 0,0± 0,0± 0,0± 0,0± 0,0.1± 0.15,0± 0,0.08± 0.2,0± 0,0± 0,0± 0
E.eve1,Post-Invasion,Pond,Wet,7,17.68± 2.48,0.19± 0.1,0± 0,0± 0,0± 0,0± 0,0± 0,0.27± 0.39,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.14± 0.38,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.2± 0.38,0± 0,0± 0,0.39± 0.46,0± 0,0± 0,0± 0,0± 0,0± 0
E.eve1,Pre-Invasion,Pond,Wet,12,17.88± 1.97,0.13± 0.05,0.13± 0.16,0± 0,0± 0,0± 0,0± 0,0.07± 0.08,0.39± 0.34,0.01± 0.03,0± 0,0.3± 0.33,0± 0,0± 0,0± 0,0± 0,0.01± 0.02,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.02± 0.05,0± 0,0.06± 0.12,0± 0,0± 0,0± 0,0± 0,0± 0
E.fus,Pre-Invasion,Marsh,Wet,2,380± 14.14,77± 2.83,0.27± 0.39,0± 0,0± 0,0± 0,0± 0,0± 0,0.27± 0.12,0± 0,0± 0,0.46± 0.26,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
E.fus,Pre-Invasion,Pond,Wet,5,332± 59.22,48± 16.25,0.05± 0.11,0± 0,0± 0,0± 0,0± 0,0.07± 0.15,0.46± 0.32,0± 0,0± 0,0.24± 0.26,0± 0,0± 0,0± 0,0.05± 0.07,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.03± 0.07,0± 0,0.08± 0.12,0± 0,0± 0,0± 0,0± 0,0.01± 0.02
E.glo1,Post-Invasion,Marsh,Dry,5,37.91± 2.3,2.22± 0.51,0.09± 0.19,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.07± 0.15,0± 0,0± 0,0± 0,0.3± 0.42,0± 0,0± 0,0± 0,0± 0,0.27± 0.43,0.12± 0.17,0.03± 0.06,0± 0,0± 0,0± 0,0± 0,0± 0,0.13± 0.3,0± 0
E.glo1,Pre-Invasion,Marsh,Dry,22,22.93± 6.91,0.51± 0.51,0.02± 0.03,0± 0,0± 0,0± 0,0± 0,0.16± 0.2,0.36± 0.21,0± 0.01,0± 0,0.28± 0.19,0± 0,0± 0,0± 0.01,0± 0.01,0± 0,0± 0,0.03± 0.05,0± 0,0± 0,0± 0,0± 0.01,0± 0.01,0.01± 0.04,0± 0,0.1± 0.17,0± 0,0± 0,0± 0,0.01± 0.04,0± 0
E.glo1,Post-Invasion,Marsh,Wet,1,31.45± NA,1± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.82± NA,0.09± NA,0± NA,0± NA,0.09± NA,0± NA,0± NA,0± NA,0± NA
E.glo1,Pre-Invasion,Marsh,Wet,34,24.09± 6.84,0.58± 0.61,0.01± 0.02,0± 0,0± 0,0± 0,0± 0,0.11± 0.13,0.36± 0.21,0.01± 0.01,0± 0,0.35± 0.19,0± 0,0± 0,0.01± 0.02,0± 0.02,0± 0.01,0.01± 0.02,0.01± 0.03,0± 0,0.04± 0.18,0± 0,0± 0,0± 0.01,0.01± 0.01,0± 0,0.07± 0.1,0± 0,0± 0,0± 0,0.01± 0.03,0± 0
E.glo1,Post-Invasion,Pond,Wet,3,31.72± 5.01,1± 0.41,0.1± 0.09,0± 0,0± 0,0.03± 0.06,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.03± 0.04,0± 0,0± 0,0± 0,0± 0,0± 0,0.81± 0.04,0± 0,0± 0,0± 0,0.03± 0.06,0± 0,0± 0,0± 0,0± 0
E.suc1,Post-Invasion,Marsh,Dry,4,79.11± 11.82,12.03± 4.31,0.05± 0.1,0± 0,0± 0,0± 0,0± 0,0± 0,0.25± 0.35,0± 0,0± 0,0± 0,0± 0,0.32± 0.47,0± 0,0± 0,0± 0,0± 0,0.03± 0.07,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.35± 0.4,0± 0,0± 0,0± 0,0± 0,0± 0
E.suc1,Post-Invasion,Marsh,Wet,3,73.98± 24,15.14± 10.36,0.11± 0.1,0± 0,0± 0,0± 0,0± 0,0.44± 0.35,0.08± 0.14,0± 0,0± 0,0.1± 0.16,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.02± 0.04,0± 0,0± 0,0± 0,0.07± 0.13,0± 0,0± 0,0± 0,0.17± 0.19,0± 0,0± 0,0± 0,0± 0,0± 0
E.suc1,Post-Invasion,Pond,Dry,2,95.37± 5.89,20.59± 2.76,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.69± 0.27,0± 0,0± 0,0± 0,0± 0,0.1± 0.03,0± 0,0± 0,0± 0,0± 0,0.08± 0.12,0± 0,0± 0,0± 0,0.12± 0.18,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
E.suc1,Post-Invasion,Pond,Wet,5,86.21± 10.71,15.97± 6.04,0.07± 0.15,0± 0,0± 0,0± 0,0± 0,0.1± 0.11,0.55± 0.2,0± 0,0± 0,0.06± 0.11,0± 0,0.02± 0.04,0± 0,0± 0,0± 0,0± 0,0.07± 0.1,0± 0,0± 0,0± 0,0.12± 0.16,0.01± 0.02,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
E.suc1,Pre-Invasion,Pond,Wet,2,59± 45.25,9.75± 13.39,0.04± 0.04,0± 0,0± 0,0± 0,0± 0,0.01± 0.01,0.18± 0.15,0± 0,0± 0,0.42± 0.59,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.32± 0.45,0± 0,0± 0,0.01± 0.02,0± 0,0± 0,0.01± 0.01,0± 0,0± 0,0± 0,0± 0,0± 0
E.suc2,Post-Invasion,Pond,Dry,3,124.37± 14.74,44.67± 17.77,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.29± 0.49,0± 0,0± 0,0± 0,0± 0,0.71± 0.49,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
E.suc2,Post-Invasion,Pond,Wet,2,112.44± 12.06,33.53± 11.61,0.15± 0.21,0± 0,0± 0,0± 0,0± 0,0.29± 0.15,0.2± 0.28,0± 0,0± 0,0.1± 0.14,0± 0,0.01± 0.01,0± 0,0± 0,0± 0,0± 0,0.06± 0.06,0± 0,0± 0,0± 0,0.14± 0.2,0± 0,0± 0,0± 0,0.05± 0.07,0± 0,0± 0,0± 0,0± 0,0± 0
E.suc2,Pre-Invasion,Pond,Wet,7,128± 12.99,52.36± 15.64,0.01± 0.02,0± 0,0± 0,0± 0,0± 0,0.12± 0.24,0.19± 0.25,0± 0,0± 0,0.4± 0.32,0± 0,0.05± 0.09,0± 0.01,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0.01,0± 0,0± 0,0± 0,0± 0,0.12± 0.28,0.11± 0.1,0± 0,0± 0,0± 0,0± 0,0± 0
E.suc3,Pre-Invasion,Pond,Wet,8,178.88± 21.97,165.12± 62.72,0.02± 0.03,0± 0,0± 0,0± 0,0± 0,0.1± 0.07,0.44± 0.16,0± 0,0± 0,0.29± 0.18,0± 0,0.02± 0.03,0± 0,0± 0,0.01± 0.03,0± 0,0.02± 0.03,0± 0,0± 0.01,0± 0,0± 0,0.01± 0.01,0± 0,0± 0,0.09± 0.12,0± 0,0± 0,0± 0,0.01± 0.01,0± 0
F.chr1,Post-Invasion,Marsh,Dry,9,28.2± 7.84,0.56± 0.45,0.06± 0.17,0± 0,0± 0,0± 0,0± 0,0.09± 0.22,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.12± 0.33,0.15± 0.26,0± 0,0± 0,0.04± 0.11,0.3± 0.35,0± 0,0.25± 0.34,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
F.chr1,Pre-Invasion,Marsh,Dry,50,26.06± 6.25,0.38± 0.3,0.14± 0.21,0± 0.02,0± 0,0± 0.02,0± 0,0.09± 0.13,0.26± 0.27,0.05± 0.09,0.02± 0.06,0.01± 0.04,0± 0.03,0.01± 0.07,0.14± 0.22,0± 0.01,0± 0,0.06± 0.09,0.07± 0.14,0.01± 0.04,0± 0.01,0.01± 0.03,0.05± 0.1,0.01± 0.03,0± 0,0± 0,0.02± 0.06,0.02± 0.09,0.02± 0.04,0± 0,0± 0,0± 0.02
F.chr1,Post-Invasion,Marsh,Wet,14,21.34± 8.22,0.31± 0.45,0± 0,0.01± 0.03,0± 0,0± 0,0± 0,0.07± 0.27,0.09± 0.19,0.04± 0.13,0.07± 0.27,0± 0,0.01± 0.05,0± 0,0.05± 0.14,0± 0,0± 0,0.05± 0.12,0.24± 0.35,0± 0,0± 0,0± 0,0.13± 0.28,0.06± 0.16,0.13± 0.28,0± 0,0.05± 0.12,0± 0,0± 0,0± 0,0± 0,0± 0
F.chr1,Pre-Invasion,Marsh,Wet,49,25.48± 8.37,0.4± 0.37,0.06± 0.11,0.01± 0.04,0± 0,0.02± 0.04,0± 0,0.21± 0.24,0.22± 0.26,0.01± 0.04,0.05± 0.09,0.07± 0.14,0.01± 0.07,0± 0,0.1± 0.14,0.01± 0.03,0± 0,0.05± 0.11,0.01± 0.04,0± 0.01,0.02± 0.06,0.03± 0.09,0± 0,0.04± 0.09,0.01± 0.04,0± 0,0.04± 0.08,0± 0,0.02± 0.04,0± 0.01,0.01± 0.03,0.01± 0.04
F.chr1,Post-Invasion,Pond,Dry,11,24.04± 4.62,0.35± 0.15,0± 0,0± 0,0± 0,0± 0,0± 0,0.07± 0.2,0.1± 0.25,0.05± 0.15,0.02± 0.08,0.08± 0.21,0± 0,0± 0,0.07± 0.16,0.05± 0.15,0± 0,0± 0,0.02± 0.08,0± 0,0± 0,0.03± 0.1,0.19± 0.4,0.09± 0.3,0.23± 0.41,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
F.chr1,Pre-Invasion,Pond,Dry,8,31.64± 6.38,0.63± 0.31,0.02± 0.06,0.12± 0.23,0± 0,0± 0,0± 0,0.03± 0.06,0.03± 0.09,0± 0,0.02± 0.06,0.14± 0.18,0.04± 0.12,0.04± 0.09,0.02± 0.04,0± 0,0.07± 0.12,0.02± 0.04,0± 0,0± 0,0.04± 0.12,0.14± 0.26,0.11± 0.18,0± 0,0± 0,0.01± 0.04,0± 0,0± 0,0± 0,0± 0,0± 0,0.14± 0.19
F.chr1,Post-Invasion,Pond,Wet,23,19.89± 9.48,0.27± 0.37,0.04± 0.16,0± 0,0± 0,0± 0,0± 0,0.06± 0.21,0.28± 0.38,0.02± 0.1,0± 0.01,0.13± 0.3,0± 0,0.09± 0.29,0.04± 0.15,0± 0,0± 0,0± 0,0.07± 0.14,0.02± 0.1,0± 0,0.02± 0.06,0.06± 0.22,0.06± 0.11,0.04± 0.16,0.02± 0.1,0.05± 0.17,0± 0,0± 0,0± 0,0± 0,0± 0
F.chr1,Pre-Invasion,Pond,Wet,16,33.72± 3.61,0.83± 0.32,0.04± 0.09,0.09± 0.26,0± 0,0± 0,0± 0,0.31± 0.31,0.02± 0.05,0± 0,0.05± 0.21,0± 0,0± 0,0± 0,0.19± 0.37,0.06± 0.15,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.02± 0.06,0± 0,0± 0,0.01± 0.05,0.01± 0.05,0± 0,0.01± 0.04,0± 0,0.16± 0.3,0.02± 0.06
F.chr2,Post-Invasion,Marsh,Dry,1,58.67± NA,4.48± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,1± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA
F.chr2,Pre-Invasion,Marsh,Dry,18,45.64± 6.36,2.16± 1.13,0.18± 0.24,0.01± 0.03,0± 0,0.01± 0.02,0± 0,0.07± 0.11,0.04± 0.1,0.04± 0.1,0± 0,0± 0,0.03± 0.09,0.06± 0.14,0.01± 0.03,0.03± 0.12,0± 0,0.05± 0.13,0.03± 0.06,0.03± 0.12,0.01± 0.03,0.01± 0.03,0.07± 0.24,0.08± 0.16,0.03± 0.12,0± 0,0.02± 0.04,0.13± 0.29,0.06± 0.11,0± 0,0± 0,0± 0
F.chr2,Pre-Invasion,Marsh,Wet,23,50.83± 6.22,2.78± 1.07,0.14± 0.2,0.01± 0.03,0± 0,0.02± 0.05,0± 0,0.12± 0.18,0± 0,0.02± 0.09,0.02± 0.05,0± 0,0.01± 0.04,0± 0,0.08± 0.13,0± 0,0± 0,0.02± 0.05,0± 0.01,0± 0,0± 0,0.11± 0.25,0± 0,0.34± 0.32,0± 0.01,0± 0,0.02± 0.05,0± 0,0.02± 0.05,0± 0,0.05± 0.09,0.02± 0.05
F.chr2,Post-Invasion,Pond,Dry,1,41.13± NA,1.53± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.5± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.5± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA
F.chr2,Post-Invasion,Pond,Wet,1,53.78± NA,3.51± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.2± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.8± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA
F.chr2,Pre-Invasion,Pond,Wet,5,46.1± 6.17,2.2± 1.06,0.22± 0.16,0± 0,0± 0,0± 0,0± 0,0.28± 0.2,0.07± 0.15,0± 0,0± 0,0± 0,0± 0,0.03± 0.06,0.04± 0.09,0.04± 0.09,0.1± 0.1,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.08± 0.18,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.15± 0.21,0± 0
F.con1,Post-Invasion,Marsh,Dry,2,41.8± 11.6,1.63± 1.26,0± 0,0.3± 0.42,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.2± 0.28,0± 0,0± 0,0± 0,0± 0,0± 0,0.5± 0.71,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
F.con1,Pre-Invasion,Marsh,Dry,17,36.29± 3.09,0.95± 0.21,0.22± 0.24,0± 0,0± 0,0.05± 0.13,0± 0,0.25± 0.25,0.12± 0.13,0.01± 0.02,0± 0,0.06± 0.13,0± 0,0± 0,0.02± 0.06,0± 0,0± 0,0.06± 0.24,0± 0,0± 0,0± 0,0.08± 0.24,0± 0,0.03± 0.08,0± 0,0± 0,0.06± 0.1,0± 0,0.03± 0.07,0± 0,0.01± 0.04,0± 0
F.con1,Pre-Invasion,Marsh,Wet,27,30.87± 6.09,0.65± 0.34,0.32± 0.23,0± 0,0± 0,0± 0,0± 0,0.28± 0.2,0.08± 0.11,0.01± 0.04,0± 0,0.04± 0.06,0± 0,0± 0.01,0± 0,0.01± 0.04,0± 0,0± 0,0.01± 0.05,0± 0,0± 0.02,0± 0,0± 0,0.02± 0.05,0± 0,0.01± 0.04,0.14± 0.16,0± 0,0.06± 0.07,0± 0,0.01± 0.03,0± 0
F.con1,Post-Invasion,Pond,Dry,1,40.21± NA,1.24± NA,0.2± NA,0± NA,0± NA,0± NA,0± NA,0.8± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA
F.con1,Pre-Invasion,Pond,Wet,4,34.88± 2.78,0.81± 0.19,0.07± 0.08,0± 0,0± 0,0.03± 0.06,0± 0,0.13± 0.15,0.48± 0.27,0± 0,0± 0,0.06± 0.07,0± 0,0.03± 0.06,0± 0,0.09± 0.19,0.06± 0.07,0.03± 0.05,0± 0,0± 0,0± 0,0± 0,0.03± 0.06,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
F.con2,Pre-Invasion,Marsh,Dry,26,48.12± 5.54,2.49± 0.92,0.24± 0.28,0± 0,0± 0,0± 0,0± 0,0.17± 0.25,0.06± 0.2,0± 0,0± 0,0.02± 0.07,0.09± 0.24,0.07± 0.15,0.01± 0.04,0± 0,0± 0,0.01± 0.04,0± 0,0± 0,0± 0,0.08± 0.15,0± 0,0.03± 0.1,0.01± 0.03,0± 0,0.02± 0.07,0.17± 0.26,0.02± 0.06,0± 0,0± 0,0± 0
F.con2,Pre-Invasion,Marsh,Wet,2,47± 5.66,2.06± 0.56,0.24± 0.01,0± 0,0± 0,0± 0,0± 0,0.14± 0.15,0± 0,0± 0,0± 0,0± 0,0± 0,0.02± 0.03,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.31± 0.44,0± 0,0.12± 0.18,0± 0,0± 0,0.14± 0.15,0± 0,0.02± 0.03,0± 0,0± 0,0± 0
G.hol1,Post-Invasion,Marsh,Dry,7,11.5± 4.4,0.04± 0.05,0± 0,0± 0,0± 0,0± 0,0± 0,0.13± 0.33,0.38± 0.48,0± 0,0± 0,0.02± 0.05,0± 0,0± 0,0.14± 0.38,0± 0,0± 0,0.15± 0.38,0.04± 0.09,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.14± 0.38,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
G.hol1,Pre-Invasion,Marsh,Dry,23,14.24± 1.96,0.05± 0.02,0± 0,0± 0,0± 0,0± 0,0± 0,0.24± 0.3,0.17± 0.23,0± 0,0± 0,0.01± 0.04,0± 0,0± 0,0± 0,0± 0,0± 0,0.02± 0.07,0.03± 0.09,0± 0,0.32± 0.35,0.01± 0.03,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.2± 0.23,0± 0,0± 0,0± 0
G.hol1,Post-Invasion,Marsh,Wet,18,13.35± 2.63,0.05± 0.03,0± 0,0.02± 0.07,0± 0,0± 0,0± 0,0± 0,0± 0,0.02± 0.06,0± 0,0± 0,0± 0,0.04± 0.12,0.52± 0.45,0± 0,0.03± 0.09,0.11± 0.32,0.05± 0.16,0± 0,0± 0,0± 0,0.21± 0.31,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
G.hol1,Pre-Invasion,Marsh,Wet,25,13.68± 1.42,0.05± 0.03,0.01± 0.03,0.01± 0.02,0± 0,0± 0,0± 0,0.26± 0.27,0.2± 0.19,0± 0.01,0.18± 0.18,0.03± 0.07,0± 0,0± 0,0.01± 0.02,0± 0,0± 0,0± 0,0± 0,0± 0,0.25± 0.24,0± 0,0.01± 0.04,0± 0,0± 0,0± 0,0.01± 0.03,0± 0,0.02± 0.04,0± 0,0± 0,0± 0
G.hol1,Post-Invasion,Pond,Dry,16,13.47± 3.8,0.06± 0.03,0± 0,0± 0,0± 0,0± 0,0± 0,0.01± 0.05,0.18± 0.29,0.02± 0.08,0.12± 0.32,0.03± 0.12,0± 0,0.32± 0.33,0.05± 0.13,0± 0.02,0± 0,0.1± 0.26,0.08± 0.15,0± 0,0± 0,0± 0,0.03± 0.12,0± 0,0± 0,0± 0,0± 0,0± 0,0.06± 0.25,0± 0,0± 0,0± 0
G.hol1,Pre-Invasion,Pond,Dry,25,14.9± 1.27,0.06± 0.02,0.01± 0.05,0± 0,0± 0,0± 0,0± 0,0.03± 0.11,0.06± 0.15,0± 0,0.01± 0.05,0.02± 0.1,0± 0,0.39± 0.34,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.48± 0.37,0± 0,0± 0.02,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
G.hol1,Post-Invasion,Pond,Wet,18,13.71± 2.54,0.06± 0.04,0± 0,0.05± 0.12,0± 0,0± 0,0± 0,0.02± 0.08,0.27± 0.35,0± 0.02,0.01± 0.04,0± 0,0± 0,0.02± 0.06,0.3± 0.38,0± 0,0± 0,0.06± 0.16,0.1± 0.19,0.01± 0.04,0.03± 0.12,0± 0,0.1± 0.25,0± 0,0± 0,0± 0,0± 0,0± 0,0.04± 0.12,0± 0,0± 0,0± 0
